drug,arthralgia,death,diarrhoea,dizziness,drug ineffective,dyspnoea,fatigue,headache,nausea,off label use,pain,vomiting
acetaminophen,18387,29512,19299,14387,27242,19629,27921,22866,26088,26402,42154,19549
adalimumab,5019,0,3886,0,10152,0,5290,3910,3937,7966,5295,0
atorvastatin,9969,10202,17630,13555,15257,16435,19634,12084,16407,13149,11011,10017
ibuprofen,11199,0,10179,8721,16909,11030,15074,12777,14240,8723,15921,10535
metformin,10424,9100,27400,15448,22106,16479,20953,14824,29643,14919,13876,19170
warfarin,0,4935,6310,5448,5360,8852,6437,4885,6254,4056,3861,3870
